program_id,program_name,university,region,skill_name,coverage_score
P0001,BSc Computer Science,Kyambogo University,Uganda,HTML,0.53
P0001,BSc Computer Science,Kyambogo University,Uganda,CSS,0.74
P0001,BSc Computer Science,Kyambogo University,Uganda,JavaScript,0.71
P0001,BSc Computer Science,Kyambogo University,Uganda,React,0.48
P0001,BSc Computer Science,Kyambogo University,Uganda,Node.js,0.58
P0001,BSc Computer Science,Kyambogo University,Uganda,Express.js,0.71
P0001,BSc Computer Science,Kyambogo University,Uganda,REST APIs,0.59
P0001,BSc Computer Science,Kyambogo University,Uganda,Database Design,0.74
P0001,BSc Computer Science,Kyambogo University,Uganda,SQL,0.78
P0001,BSc Computer Science,Kyambogo University,Uganda,Authentication,0.64
P0001,BSc Computer Science,Kyambogo University,Uganda,Version Control,0.76
P0001,BSc Computer Science,Kyambogo University,Uganda,Git,0.54
P0001,BSc Computer Science,Kyambogo University,Uganda,Testing,0.54
P0001,BSc Computer Science,Kyambogo University,Uganda,Deployment,0.68
P0001,BSc Computer Science,Kyambogo University,Uganda,Cloud Services,0.66
P0001,BSc Computer Science,Kyambogo University,Uganda,Security Best Practices,0.77
P0001,BSc Computer Science,Kyambogo University,Uganda,UI Design Principles,0.76
P0001,BSc Computer Science,Kyambogo University,Uganda,Debugging,0.53
P0001,BSc Computer Science,Kyambogo University,Uganda,Responsive Design,0.77
P0001,BSc Computer Science,Kyambogo University,Uganda,Problem Solving,0.52
P0001,BSc Computer Science,Kyambogo University,Uganda,Python,0.49
P0001,BSc Computer Science,Kyambogo University,Uganda,Machine Learning,0.82
P0001,BSc Computer Science,Kyambogo University,Uganda,Deep Learning,0.62
P0001,BSc Computer Science,Kyambogo University,Uganda,Neural Networks,0.69
P0001,BSc Computer Science,Kyambogo University,Uganda,Natural Language Processing,0.7
P0001,BSc Computer Science,Kyambogo University,Uganda,Computer Vision,0.58
P0001,BSc Computer Science,Kyambogo University,Uganda,Model Deployment,0.59
P0001,BSc Computer Science,Kyambogo University,Uganda,Cloud ML Services,0.67
P0001,BSc Computer Science,Kyambogo University,Uganda,TensorFlow,0.73
P0001,BSc Computer Science,Kyambogo University,Uganda,PyTorch,0.51
P0001,BSc Computer Science,Kyambogo University,Uganda,Data Engineering,0.5
P0001,BSc Computer Science,Kyambogo University,Uganda,Model Evaluation,0.78
P0001,BSc Computer Science,Kyambogo University,Uganda,Feature Engineering,0.52
P0001,BSc Computer Science,Kyambogo University,Uganda,Optimization Techniques,0.52
P0001,BSc Computer Science,Kyambogo University,Uganda,Linear Algebra,0.68
P0001,BSc Computer Science,Kyambogo University,Uganda,Probability Theory,0.5
P0001,BSc Computer Science,Kyambogo University,Uganda,Big Data Tools,0.72
P0001,BSc Computer Science,Kyambogo University,Uganda,APIs,0.53
P0001,BSc Computer Science,Kyambogo University,Uganda,Research Skills,0.51
