skill_id,skill_name_normalized,in_career_data,in_program_data,career_frequency,program_frequency
SK0001,accounting principles,False,True,0,11
SK0002,accounts_payable,True,False,1,0
SK0003,actuarial_modeling,True,False,1,0
SK0004,agile_methodology,True,False,8,0
SK0005,air pollution control,False,True,0,3
SK0006,api_development,True,False,8,0
SK0007,apis,False,True,0,14
SK0008,aspen_plus,True,False,1,0
SK0009,attention to detail,False,True,0,11
SK0010,attention_to_detail,True,False,8,0
SK0011,audit_procedures,True,False,1,0
SK0012,audit_support,True,False,1,0
SK0013,authentication,False,True,0,7
SK0014,autocad,True,False,8,0
SK0015,automation,False,True,0,12
SK0016,aws,False,True,0,7
SK0017,azure,False,True,0,7
SK0018,backend integration,False,True,0,4
SK0019,big data tools,False,True,0,14
SK0020,bioinformatics,True,False,1,0
SK0021,biomechanics,True,False,1,0
SK0022,blockchain architecture,False,True,0,4
SK0023,bloomberg_terminal,True,False,1,0
SK0024,bookkeeping,True,False,1,0
SK0025,budgeting,False,True,0,11
SK0026,building_codes,True,False,1,0
SK0027,business process improvement,False,True,0,8
SK0028,business understanding,False,True,0,14
SK0029,cad/cam systems,False,True,0,5
SK0030,capital_markets,True,False,1,0
SK0031,ci/cd pipelines,False,True,0,7
SK0032,ci_cd_pipelines,True,False,1,0
SK0033,circuit_design,True,False,1,0
SK0034,climate change mitigation,False,True,0,3
SK0035,clinical_trials,True,False,1,0
SK0036,cloud computing,False,True,0,17
SK0037,cloud ml services,False,True,0,14
SK0038,cloud platforms,False,True,0,5
SK0039,cloud security,False,True,0,7
SK0040,cloud services,False,True,0,7
SK0041,cloud_computing,True,False,8,0
SK0042,communication,True,True,24,36
SK0043,compensation and benefits,False,True,0,3
SK0044,compliance standards,False,True,0,7
SK0045,compliance_testing,True,False,1,0
SK0046,computer vision,False,True,0,14
SK0047,computer_vision,True,False,1,0
SK0048,conflict resolution,False,True,0,3
SK0049,consensus algorithms,False,True,0,4
SK0050,construction_management,True,False,1,0
SK0051,container orchestration,False,True,0,7
SK0052,corporate finance,False,True,0,11
SK0053,cost analysis,False,True,0,16
SK0054,cost benefit analysis,False,True,0,8
SK0055,critical thinking,False,True,0,3
SK0056,critical_thinking,True,False,24,0
SK0057,cryptography,True,True,2,11
SK0058,css,False,True,0,7
SK0059,dashboard design,False,True,0,14
SK0060,data analysis,False,True,0,22
SK0061,data cleaning,False,True,0,19
SK0062,data engineering,False,True,0,14
SK0063,data ethics,False,True,0,19
SK0064,data interpretation,False,True,0,14
SK0065,data pipelines,False,True,0,5
SK0066,data querying,False,True,0,14
SK0067,data storytelling,False,True,0,10
SK0068,data visualization,False,True,0,25
SK0069,data wrangling,False,True,0,19
SK0070,data_analysis,True,False,16,0
SK0071,data_cleaning,True,False,1,0
SK0072,data_visualization,True,False,8,0
SK0073,database design,False,True,0,21
SK0074,database_design,True,False,1,0
SK0075,deal_structuring,True,False,1,0
SK0076,debugging,False,True,0,7
SK0077,decision making,False,True,0,13
SK0078,deep learning,False,True,0,14
SK0079,deep_learning,True,False,3,0
SK0080,defi concepts,False,True,0,4
SK0081,deployment,False,True,0,7
SK0082,descriptive statistics,False,True,0,14
SK0083,devsecops,False,True,0,7
SK0084,distributed systems,False,True,0,4
SK0085,distributed_systems,True,False,1,0
SK0086,docker,True,True,1,7
SK0087,documentation,True,False,16,0
SK0088,documentation skills,False,True,0,8
SK0089,documentation standards,False,True,0,8
SK0090,econometrics,True,True,1,3
SK0091,electrical machines,False,True,0,4
SK0092,electrical_codes,True,False,1,0
SK0093,embedded_systems,True,False,2,0
SK0094,employee relations,False,True,0,3
SK0095,employment law,False,True,0,3
