career_name,BBA Business Administration @ Moi University,BBA Business Administration @ Technical University of Kenya,BBA Business Administration @ University of Kigali,BCom Accounting @ Kenyatta University,BCom Accounting @ Moi University,BCom Accounting @ United States International University Africa,BCom Finance @ AUCA (Adventist University of Central Africa),BCom Finance @ Jomo Kenyatta University of Agriculture and Technology,BCom Finance @ Kyambogo University,BCom Finance @ Makerere University,BCom Finance @ Mzumbe University,BEng Electrical Engineering @ Carnegie Mellon University Rwanda,BEng Electrical Engineering @ Makerere University,BEng Electrical Engineering @ Uganda Christian University,BEng Electrical Engineering @ United States International University Africa,BEng Environmental Engineering @ Mbarara University of Science and Technology,BEng Environmental Engineering @ Uganda Christian University,BEng Environmental Engineering @ University of Kigali,BEng Industrial Engineering @ AUCA (Adventist University of Central Africa),BEng Industrial Engineering @ Kenyatta University,BEng Industrial Engineering @ Moi University,BEng Industrial Engineering @ Mzumbe University,BEng Industrial Engineering @ University of Nairobi,BSc Artificial Intelligence @ Carnegie Mellon University Rwanda,BSc Artificial Intelligence @ Kyambogo University,BSc Artificial Intelligence @ Nelson Mandela African Institution of Science and Technology,BSc Artificial Intelligence @ Uganda Martyrs University,BSc Artificial Intelligence @ University of Dar es Salaam,BSc Business Analytics @ African Leadership University,BSc Business Analytics @ Makerere University,BSc Business Analytics @ Moi University,BSc Business Analytics @ Uganda Christian University,BSc Business Analytics @ University of Dodoma,BSc Computer Science @ Carnegie Mellon University Rwanda,BSc Computer Science @ Kyambogo University,BSc Computer Science @ Muhimbili University of Health and Allied Sciences,BSc Computer Science @ University of Kigali,BSc Cybersecurity @ Nelson Mandela African Institution of Science and Technology,BSc Cybersecurity @ Uganda Christian University,BSc Cybersecurity @ University of Kigali,BSc Data Science @ AUCA (Adventist University of Central Africa),BSc Data Science @ Ardhi University,BSc Data Science @ Carnegie Mellon University Rwanda,BSc Data Science @ Muhimbili University of Health and Allied Sciences,BSc Data Science @ Technical University of Kenya,BSc Economics @ Makerere University,BSc Economics @ University of Dar es Salaam,BSc Economics @ University of Rwanda,BSc Information Technology @ Ardhi University,BSc Information Technology @ United States International University Africa,BSc Information Technology @ University of Kigali,BSc Information Technology @ University of Nairobi,BSc Software Engineering @ Uganda Martyrs University,BSc Software Engineering @ University of Kigali,BSc Software Engineering @ University of Nairobi
AI Engineer,0.06899082568807341,0.053467889908256884,0.0518165137614679,0.022605504587155968,0.018972477064220186,0.029871559633027525,0.0286605504587156,0.029871559633027525,0.027045871559633033,0.0314862385321101,0.02462385321100918,0.0,0.0,0.0,0.0,0.03188990825688074,0.03188990825688074,0.027853211009174313,0.0,0.0,0.0,0.0,0.0,0.21125382262996942,0.18996330275229362,0.21941284403669728,0.1743180428134557,0.2053700305810398,0.13114984709480126,0.14279510703363918,0.10384097859327218,0.10795718654434251,0.12855045871559634,0.1512232415902141,0.12125382262996943,0.1297737003058104,0.11439755351681956,0.0,0.0,0.0,0.18346177370030584,0.18859938837920492,0.2104587155963303,0.19496636085626914,0.18971865443425076,0.027045871559633033,0.03229357798165138,0.029064220183486242,0.11632415902140673,0.11578593272171256,0.10448318042813456,0.13288685015290522,0.02774311926605505,0.0369908256880734,0.041614678899082574
Accountant,0.08116541353383458,0.06272556390977443,0.05165413533834586,0.02842105263157895,0.023853383458646613,0.03755639097744361,0.03603383458646617,0.03755639097744361,0.034003759398496244,0.03958646616541353,0.030958646616541356,0.0,0.0,0.0,0.0,0.040093984962406015,0.040093984962406015,0.0350187969924812,0.0,0.0,0.0,0.0,0.0,0.04212406015037594,0.03704887218045113,0.0431390977443609,0.03603383458646617,0.03857142857142857,0.08383458646616541,0.08171052631578947,0.05325187969924813,0.0693609022556391,0.0643984962406015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06389097744360903,0.06530075187969925,0.06874060150375941,0.07601503759398497,0.06875939849624059,0.034003759398496244,0.0406015037593985,0.036541353383458645,0.05531954887218045,0.05327067669172932,0.05776315789473684,0.08078947368421051,0.0,0.0,0.0
Actuary,0.08620452985586824,0.06643788606726149,0.05490734385724091,0.03074811256005491,0.025806451612903226,0.04063143445435827,0.03898421413864104,0.04063143445435827,0.03678792038435141,0.042827728208647914,0.03349347975291695,0.0,0.0,0.0,0.0,0.043376801647220325,0.043376801647220325,0.03788606726149622,0.0,0.0,0.0,0.0,0.0,0.04557309540150995,0.040082361015785856,0.046671242278654775,0.03898421413864104,0.0417295813315031,0.08894989704873028,0.08675360329444065,0.056554564172958136,0.07357584076870281,0.06863417982155114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06808510638297872,0.06918325326012353,0.0730267673301304,0.08071379547014414,0.0730267673301304,0.03678792038435141,0.04392587508579273,0.03953328757721345,0.058750857927247775,0.056554564172958136,0.06149622512010981,0.08565545641729581,0.0,0.0,0.0
Auditor,0.07049095607235141,0.054386304909560715,0.04488372093023255,0.02496124031007752,0.020949612403100774,0.032984496124031,0.03164728682170542,0.032984496124031,0.029864341085271317,0.03476744186046512,0.02718992248062015,0.0,0.0,0.0,0.0,0.03521317829457364,0.03521317829457364,0.030755813953488365,0.0,0.0,0.0,0.0,0.0,0.03699612403100774,0.032538759689922474,0.0378875968992248,0.03164728682170542,0.03387596899224806,0.07276485788113694,0.07094961240310077,0.04624677002583979,0.060193798449612396,0.05604651162790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05560077519379844,0.056627906976744184,0.05970930232558139,0.06600775193798449,0.0597157622739018,0.029864341085271317,0.03565891472868216,0.03209302325581395,0.04804263565891473,0.046253229974160204,0.05023901808785529,0.07009043927648578,0.0,0.0,0.0
Biomedical Engineering,0.0380367321089297,0.024870170994300188,0.025357821405953135,0.027308423052564916,0.02291956934768841,0.03608613046231792,0.03462317922735909,0.03608613046231792,0.032672577580747306,0.0380367321089297,0.029746675110829637,0.0,0.0,0.0,0.0,0.03852438252058265,0.03852438252058265,0.03364787840405319,0.0,0.0,0.0,0.0,0.0,0.040474984167194424,0.03559848005066498,0.04145028499050031,0.03462317922735909,0.037061431285623815,0.037061431285623815,0.037549081697276755,0.024870170994300188,0.03023432552248258,0.03608613046231792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03559848005066498,0.026333122229259025,0.032672577580747306,0.035110829639012034,0.03218492716909436,0.032672577580747306,0.039012032932235596,0.035110829639012034,0.02584547181760608,0.024382520582647244,0.030721975934135528,0.03413552881570613,0.0,0.0,0.0
Blockchain Developer,0.06252302025782688,0.047771639042357275,0.04648250460405157,0.022688766114180484,0.019042357274401473,0.02998158379373849,0.028766114180478825,0.02998158379373849,0.027145488029465932,0.03160220994475139,0.024714548802946594,0.0,0.0,0.0,0.0,0.03200736648250461,0.03200736648250461,0.027955801104972377,0.0,0.0,0.0,0.0,0.0,0.1402087170042971,0.11473296500920811,0.14461632903621854,0.11424186617556782,0.129109883364027,0.13129527317372625,0.1421485573971762,0.10387968078575814,0.10831184775936159,0.126353591160221,0.19486801718845917,0.16876611418047885,0.1874278698588091,0.16750153468385515,0.0385389809699202,0.029564149785144263,0.04276243093922652,0.1173971761817066,0.1245303867403315,0.1421485573971762,0.11575813382443219,0.12519950890116638,0.027145488029465932,0.03241252302025783,0.029171270718232046,0.15606507059545735,0.14605893186003685,0.13815224063842851,0.17640270104358502,0.02287292817679558,0.030497237569060774,0.03430939226519337
Business Analyst,0.12387279596977331,0.10023929471032747,0.08664987405541562,0.02821158690176323,0.02367758186397985,0.03727959697732997,0.035768261964735516,0.03727959697732997,0.033753148614609575,0.03929471032745593,0.030730478589420657,0.0,0.0,0.0,0.0,0.03979848866498741,0.03979848866498741,0.03476070528967254,0.0,0.0,0.0,0.0,0.0,0.08584382871536524,0.068639798488665,0.08453400503778338,0.06531486146095718,0.08,0.12371536523929473,0.1284949622166247,0.08712846347607053,0.10221662468513856,0.11150503778337534,0.03881612090680101,0.04518891687657431,0.04287153652392948,0.04287153652392948,0.0,0.0,0.0,0.10868387909319902,0.11267002518891689,0.10963476070528969,0.11870906801007558,0.11430100755667508,0.033753148614609575,0.040302267002518904,0.036272040302267,0.09847607052896727,0.08773929471032746,0.08693324937027709,0.1264861460957179,0.031284634760705296,0.04171284634760705,0.046926952141057944
Chemical Engineering,0.0356396866840731,0.023302872062663182,0.023759791122715403,0.025587467362924284,0.021475195822454305,0.033812010443864234,0.032441253263707566,0.033812010443864234,0.030613577023498692,0.0356396866840731,0.027872062663185378,0.0,0.0,0.0,0.0,0.03609660574412532,0.03609660574412532,0.031527415143603126,0.0,0.0,0.0,0.0,0.0,0.0379242819843342,0.03335509138381201,0.03883812010443864,0.032441253263707566,0.03472584856396866,0.03472584856396866,0.03518276762402088,0.023302872062663182,0.028328981723237598,0.033812010443864234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03335509138381201,0.024673629242819843,0.030613577023498692,0.03289817232375979,0.030156657963446472,0.030613577023498692,0.03655352480417754,0.03289817232375979,0.024216710182767623,0.022845953002610966,0.028785900783289815,0.031984334203655346,0.0,0.0,0.0
Civil Engineering,0.034171428571428575,0.022342857142857143,0.02278095238095238,0.024533333333333334,0.02059047619047619,0.03241904761904762,0.031104761904761902,0.03241904761904762,0.029352380952380953,0.034171428571428575,0.02672380952380952,0.0,0.0,0.0,0.0,0.03460952380952381,0.03460952380952381,0.030228571428571424,0.0,0.0,0.0,0.0,0.0,0.036361904761904755,0.031980952380952374,0.03723809523809523,0.031104761904761902,0.03329523809523809,0.03329523809523809,0.03373333333333333,0.022342857142857143,0.02716190476190476,0.03241904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031980952380952374,0.023657142857142856,0.029352380952380953,0.03154285714285714,0.028914285714285712,0.029352380952380953,0.03504761904761904,0.03154285714285714,0.02321904761904762,0.021904761904761903,0.0276,0.03066666666666666,0.0,0.0,0.0
Computer Engineering,0.037000000000000005,0.024192307692307694,0.02466666666666667,0.02656410256410257,0.022294871794871794,0.0351025641025641,0.033679487179487176,0.0351025641025641,0.031782051282051284,0.037000000000000005,0.028935897435897435,0.0,0.0,0.0,0.0,0.037474358974358975,0.037474358974358975,0.03273076923076923,0.0,0.0,0.0,0.0,0.0,0.039371794871794874,0.03462820512820513,0.04032051282051282,0.033679487179487176,0.03605128205128205,0.03605128205128205,0.03652564102564102,0.024192307692307694,0.02941025641025641,0.0351025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03462820512820513,0.025615384615384616,0.031782051282051284,0.03415384615384615,0.03130769230769231,0.031782051282051284,0.037948717948717944,0.03415384615384615,0.02514102564102564,0.023717948717948717,0.029884615384615384,0.033205128205128207,0.0,0.0,0.0
